Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=665112550, unfit=0.77, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=875030781, unfit=0.38, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=755196611, unfit=0.3, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=279422515, unfit=0.22, hasFingerprints=true]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=226368219, unfit=0.17, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=803878464, unfit=0.4, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=687991318, unfit=0.81, hasFingerprints=true]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=880805472, unfit=0.53, hasFingerprints=true]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=546328383, unfit=0.47, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=691433310, unfit=0.6, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=314479527, unfit=0.3, hasFingerprints=false]
Weapon [name=AK-47, Caliber [value=7.62, additionalValue=mm], serialNumber=337412042, unfit=0.42, hasFingerprints=true]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=935083413, unfit=0.98, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=736900326, unfit=0.7, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=350826833, unfit=0.88, hasFingerprints=false]
Weapon [name=Ruger Mini 30 Ranch, Caliber [value=7.62, additionalValue=mm], serialNumber=667848038, unfit=0.61, hasFingerprints=true]
