Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=923331590, unfit=0.99, hasFingerprints=true]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=377994433, unfit=0.81, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=406501535, unfit=0.32, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=866476741, unfit=0.06, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=697754819, unfit=0.7, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=596547080, unfit=0.09, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=401838645, unfit=0.9, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=954014353, unfit=0.67, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=111266375, unfit=0.86, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=435781835, unfit=0.22, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=304038636, unfit=0.98, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=858807655, unfit=0.64, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=569837572, unfit=0.32, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=94188680, unfit=0.6, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=690055594, unfit=0.18, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=407008468, unfit=0.01, hasFingerprints=true]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=514864487, unfit=0.15, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=720919136, unfit=0.53, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=345828448, unfit=0.1, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=413761110, unfit=0.87, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=198370726, unfit=0.18, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=206278641, unfit=0.04, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=969041129, unfit=0.18, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=14818031, unfit=0.05, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=353828415, unfit=0.4, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=525250294, unfit=0.54, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=105442394, unfit=0.6, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=279379169, unfit=0.24, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=611433630, unfit=0.91, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=888738972, unfit=0.6, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=574395299, unfit=0.32, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=975645624, unfit=0.61, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=679251920, unfit=0.27, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=986344038, unfit=0.95, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=452365935, unfit=0.44, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=973664053, unfit=0.34, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=348764902, unfit=0.3, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=30625494, unfit=0.47, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=492173783, unfit=0.53, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=780850261, unfit=0.12, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=895794066, unfit=0.71, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=216705297, unfit=0.6, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=960971271, unfit=0.21, hasFingerprints=true]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=621849710, unfit=0.09, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=690471392, unfit=0.03, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=685417761, unfit=0.9, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=95880746, unfit=0.58, hasFingerprints=true]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=96180322, unfit=0.72, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=747460808, unfit=0.16, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=755415042, unfit=0.04, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=121070548, unfit=0.49, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=472280943, unfit=0.33, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=107625742, unfit=0.83, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=127383027, unfit=0.23, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=158950480, unfit=0.88, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=89933905, unfit=0.67, hasFingerprints=true]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=521903204, unfit=0.76, hasFingerprints=true]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=863144140, unfit=0.71, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=608908544, unfit=0.42, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=293094172, unfit=0.92, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=574236685, unfit=0.85, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=695195795, unfit=0.32, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=870224870, unfit=0.01, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=922260672, unfit=0.29, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=13817976, unfit=0.23, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=279951479, unfit=0.49, hasFingerprints=true]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=637545230, unfit=0.48, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=44381569, unfit=0.24, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=346438820, unfit=0.33, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=47392018, unfit=0.4, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=751058050, unfit=0.27, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=777790184, unfit=0.59, hasFingerprints=false]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=128065424, unfit=0.31, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=697903737, unfit=0.77, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=169368884, unfit=0.26, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=82076563, unfit=0.68, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=549176198, unfit=0.01, hasFingerprints=true]
Weapon [name=Stag Arms Model 2TFL Featureless Semi-Automatic, Caliber [value=5.56, additionalValue=mm], serialNumber=401208047, unfit=0.81, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=594923451, unfit=0.29, hasFingerprints=false]
Weapon [name=POF Gen 4 ReVolt Bolt Gun, Caliber [value=5.56, additionalValue=mm], serialNumber=355965224, unfit=0.2, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=184816461, unfit=0.09, hasFingerprints=true]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=306579513, unfit=0.77, hasFingerprints=false]
Weapon [name=LWRC IC-Enhanced, Caliber [value=5.56, additionalValue=mm], serialNumber=54854409, unfit=0.36, hasFingerprints=false]
Weapon [name=Daniel Defense DDM4 V7 Pro, Caliber [value=5.56, additionalValue=mm], serialNumber=141885929, unfit=0.14, hasFingerprints=false]
